PC1,PC2,
-1.03089,-0.12658,25C_0
-0.99837,0.24884,25C_0
-1.01575,0.09116,25C_0
-1.10175,-0.19497,25C_0
-1.05591,0.06877,25C_0
-1.08332,-0.04556,25C_0
-1.01368,0.11983,25C_0
-1.03323,-0.15757,25C_0
-1.03066,-0.04593,25C_0
0.51381,0.55217,25C_1
0.60692,0.68306,25C_1
0.48413,0.52697,25C_1
0.33298,0.4106,25C_1
0.42514,0.81634,25C_1
0.41211,0.78031,25C_1
-0.04881,0.23616,25C_1
-0.05448,0.35784,25C_1
-0.10285,0.05264,25C_1
1.36449,0.15575,25C_2
1.39552,0.05875,25C_2
1.4214,0.22712,25C_2
1.10552,-0.01409,25C_2
1.25345,0.25848,25C_2
1.06968,-0.08307,25C_2
0.95018,0.45885,25C_2
0.90225,0.25751,25C_2
1.03983,0.67435,25C_2
1.27911,-0.93097,25C_3
1.32056,0.3148,25C_3
1.21592,-1.06856,25C_3
1.06916,-0.55405,25C_3
1.10498,-0.59599,25C_3
1.21393,-0.42203,25C_3
0.86754,-0.50335,25C_3
0.9041,-0.35414,25C_3
0.8215,-0.5831,25C_3
0.72134,-0.14727,25C_4
0.6262,-0.4428,25C_4
0.6403,-0.24391,25C_4
0.69773,-0.50721,25C_4
0.67775,-0.51676,25C_4
0.69914,-0.30267,25C_4
0.83314,-0.54517,25C_4
0.88399,-0.30908,25C_4
0.95751,-0.03888,25C_4
1.06018,-0.30148,25C_5
1.07666,-0.19076,25C_5
1.02397,-0.28053,25C_5
1.07797,0.05045,25C_5
0.78776,-0.5084,25C_5
0.88041,-0.3109,25C_5
0.89853,0.05377,25C_5
0.81142,-0.15728,25C_5
0.79239,-0.16053,25C_5
1.5034,-0.57776,25C_6
1.51101,-0.9768,25C_6
1.43701,-1.0249,25C_6
1.23084,-0.65217,25C_6
1.44904,-0.38111,25C_6
1.1149,-0.81526,25C_6
0.86969,-0.65594,25C_6
1.13045,-0.09958,25C_6
1.06811,-0.4569,25C_6
1.43549,-0.74183,25C_7
1.3641,-0.70032,25C_7
1.59891,0.21094,25C_7
1.25257,-0.11933,25C_7
1.14232,-0.42867,25C_7
1.19116,-0.48945,25C_7
1.02265,1.16618,25C_7
0.75371,-0.53428,25C_7
0.79701,-0.42087,25C_7
1.69062,0.75969,25C_8
2.19638,6.25878,25C_8
1.50943,-0.04501,25C_8
1.3338,0.88222,25C_8
1.15489,0.26116,25C_8
1.0738,0.0536,25C_8
