Factor2,Factor3,
-33.77736,-0.77226,25C_0
-34.07563,0.90685,25C_0
-33.69803,0.30896,25C_0
-36.77652,0.65464,25C_0
-35.24788,1.16652,25C_0
-36.70737,0.86036,25C_0
-34.11555,-0.04422,25C_0
-33.04395,-1.95613,25C_0
-34.21086,-0.0399,25C_0
27.14991,11.18143,25C_1
25.87901,10.90171,25C_1
26.272,9.6424,25C_1
21.18375,9.04485,25C_1
20.46942,10.38239,25C_1
18.87571,9.16147,25C_1
6.53864,6.34553,25C_1
5.98207,7.00439,25C_1
5.72187,5.84198,25C_1
50.39572,7.64125,25C_2
49.81721,8.1512,25C_2
49.80602,7.57753,25C_2
48.83896,8.33412,25C_2
45.55146,8.44728,25C_2
48.17713,7.68936,25C_2
37.09429,10.66313,25C_2
35.09636,10.67494,25C_2
39.45974,11.19887,25C_2
55.96396,0.08758,25C_3
55.95502,1.00475,25C_3
56.74935,-0.01933,25C_3
51.80782,2.4556,25C_3
53.35168,3.19241,25C_3
48.99072,3.90798,25C_3
42.04909,4.65279,25C_3
39.94168,4.29513,25C_3
44.22749,3.8197,25C_3
34.90019,5.23375,25C_4
37.78712,3.32306,25C_4
36.42378,4.53769,25C_4
37.98112,2.4469,25C_4
37.98783,2.41924,25C_4
38.97512,2.61298,25C_4
38.31665,3.47748,25C_4
39.2843,3.76503,25C_4
38.61888,3.48692,25C_4
45.75898,6.48706,25C_5
48.11051,6.55514,25C_5
45.35046,6.85853,25C_5
42.00767,7.61015,25C_5
45.00307,6.44531,25C_5
40.44155,6.35855,25C_5
41.06633,8.49095,25C_5
41.36278,8.66406,25C_5
41.8984,8.08987,25C_5
56.43033,-5.90092,25C_6
54.86965,-4.58334,25C_6
55.14897,-4.52886,25C_6
53.47173,-1.22881,25C_6
49.51924,-0.54376,25C_6
53.75578,-0.81382,25C_6
48.46216,0.74281,25C_6
45.94304,0.19275,25C_6
50.30697,0.55997,25C_6
50.2007,-1.44459,25C_7
54.94262,-1.15218,25C_7
53.63543,-1.51628,25C_7
52.18689,0.24634,25C_7
49.48759,0.16673,25C_7
48.05668,0.55475,25C_7
45.68606,1.55982,25C_7
41.69314,1.47458,25C_7
45.2915,1.62597,25C_7
56.6581,8.4259,25C_8
59.4227,4.45968,25C_8
52.05833,7.83002,25C_8
47.93514,11.00543,25C_8
50.21207,10.50517,25C_8
48.61304,10.2292,25C_8
38.70951,13.56798,25C_8
39.84048,12.86951,25C_8
40.99399,12.66963,25C_8
